world_cup,model,matches,log_loss,brier,accuracy
2010,current_logistic_simple,64,0.9720096901290035,0.5726107950630042,0.515625
2010,poisson_simple,64,0.9910891786111086,0.5883676647346784,0.515625
2010,elo_market_free,64,0.9836688518870376,0.5825841882754419,0.515625
2010,rich_logistic,64,0.9773170309846615,0.5757841560585639,0.5625
2010,weighted_rich_logistic,64,0.980254182868798,0.5762185858590462,0.515625
2010,random_forest_rich,64,0.9918528558736865,0.5916276743037281,0.53125
2010,xgboost_rich,64,0.9586506794646822,0.5665738524171053,0.515625
2010,validation_weighted_ensemble,64,0.9645840229093954,0.5697500696882281,0.53125
2010,equal_ml_ensemble,64,0.9650032165033828,0.5700815901641425,0.53125
2014,current_logistic_simple,64,0.9691705599694996,0.5775885781715816,0.578125
2014,poisson_simple,64,0.9779258747745339,0.5822230927973358,0.640625
2014,elo_market_free,64,0.9779572953595881,0.5844946706352532,0.53125
2014,rich_logistic,64,0.991752568808573,0.5944966681126843,0.484375
2014,weighted_rich_logistic,64,0.9494927709213163,0.5631192701444723,0.578125
2014,random_forest_rich,64,1.0329428120514037,0.6239302789608312,0.4375
2014,xgboost_rich,64,0.9767926129710364,0.5809993329839861,0.59375
2014,validation_weighted_ensemble,64,0.9716471334660122,0.5798586461749754,0.53125
2014,equal_ml_ensemble,64,0.9728353937955824,0.5807261370167136,0.53125
2018,current_logistic_simple,64,0.9670495323780511,0.5766957732365028,0.578125
2018,poisson_simple,64,0.9848304341741381,0.5880289072924714,0.5625
2018,elo_market_free,64,0.9709407555844264,0.579229844082799,0.5625
2018,rich_logistic,64,1.0127564963837712,0.6070570058012832,0.546875
2018,weighted_rich_logistic,64,0.9651978260861612,0.5702718987587527,0.578125
2018,random_forest_rich,64,1.028919174194233,0.6220776738614653,0.46875
2018,xgboost_rich,64,0.9798205517143621,0.5838379343698242,0.578125
2018,validation_weighted_ensemble,64,0.9786178972952024,0.5838075422010318,0.5625
2018,equal_ml_ensemble,64,0.9794520274624791,0.5844738818626934,0.5625
2022,current_logistic_simple,64,1.0371968005238028,0.6002183855127112,0.546875
2022,poisson_simple,64,1.016819523435741,0.6001241096995205,0.484375
2022,elo_market_free,64,1.031078391030284,0.6070931118703891,0.53125
2022,rich_logistic,64,1.1079853070031154,0.6352277295731965,0.5625
2022,weighted_rich_logistic,64,1.0169460768652063,0.5808768978985805,0.53125
2022,random_forest_rich,64,1.0532475824527232,0.6218524886494691,0.515625
2022,xgboost_rich,64,1.0201033500901175,0.5951626364910658,0.546875
2022,validation_weighted_ensemble,64,1.0282472553644904,0.5985283867983398,0.5625
2022,equal_ml_ensemble,64,1.0290374955698454,0.5992907571333974,0.5625
